"player","player_alt","similarity"
"Daniil Gutik","Daniil But",0.117
"Alexander Komarov","Alexander Samoilov",0.117
"James Stefan","James Swan",0.117
"Alex Gagne","Alex Gaffney",0.117
"Alex Gaffney","Alex Gagne",0.117
"Alex Gaffney","Alex Gagne",0.117
"Daniil But","Daniil Gutik",0.117
"Daniil But","Daniil Gutik",0.117
"James McEwan","James Swan",0.117
"Samuel Solensky","Samuel Solem",0.117
"Jan Bednar","Ryan Bednard",0.117
"Alexander Samoilov","Alexander Romanov",0.117
"Alexander Samoilov","Alexander Komarov",0.117
"Alexander Pavlenko","Alexander Pelevin",0.117
"David Madsen","David Kase",0.117
"Samuel Solem","Samuel Solensky",0.117
"Ivan Romanov","Ivan Rogov",0.117
"Robert Arrak","Robert Orr",0.117
"Ivan Rogov","Ivan Romanov",0.117
"Francesco Iasenza","Francesco Lapenna",0.118
"Francesco Lapenna","Francesco Iasenza",0.118
"Danila Klimovich","Daniil Karpovich",0.119
"Jordan Kooy","Jordan Kyrou",0.119
"Jordan Kyrou","Jordan Kooy",0.119
"Daniil Karpovich","Danila Klimovich",0.119
"Christopher Birdsall","Christopher Giroday",0.119
"Oliver True","Oliver Turan",0.119
"Christopher Giroday","Christopher Birdsall",0.119
"Oliver Turan","Oliver True",0.119
"Alexander Blank","Alexander Pavlenko",0.12
"Matthew Perkins","Matthew Knies",0.12
"Matthew Knies","Matthew Perkins",0.12
"Alexander Nikishin","Alexander Oskin",0.12
"Matthew Boldy","Matthew Bradley",0.12
"Brandon Crawley","Brandon Carlo",0.12
"Brandon Carlo","Brandon Crawley",0.12
"Brandon Carlo","Brandon Crawley",0.12
"Brandon Carlo","Brandon Crawley",0.12
"Matthew Bradley","Matthew Boldy",0.12
"Brandon Crawley","Brandon Carlo",0.12
"Brandon Crawley","Brandon Carlo",0.12
"Alexander Oskin","Alexander Nikishin",0.12
"Alexander Pavlenko","Alexander Blank",0.12
"Alexander Perevalov","Alexander Pavlenko",0.121
"Nolan Joyce","Nolan Moyle",0.121
"Matej Tomas","Matej Tomek",0.121
"Lukas Parik","Lukas Pajer",0.121
"Jack McBain","Jack Badini",0.121
"Jakub Lauko","Jakub Lacka",0.121
"Jack Perbix","Nick Perbix",0.121
"Luke Martin","Jake Martin",0.121
"Luke Martin","Jake Martin",0.121
"Jack Badini","Jack McBain",0.121
"Nick Perbix","Jack Perbix",0.121
"Jack Walker","Zach Walker",0.121
"Jack Walker","Zach Walker",0.121
"Matej Tomek","Matej Tomas",0.121
"Matthew Roy","Matthew Sop",0.121
"Jan Shikera","Jan Sir",0.121
"Jake Martin","Luke Martin",0.121
"Matthew Sop","Matthew Roy",0.121
"Lukas Pajer","Lukas Parik",0.121
"Jake Martin","Luke Martin",0.121
"Zach Walker","Jack Walker",0.121
"Nolan Moyle","Nolan Joyce",0.121
"Zach Walker","Jack Walker",0.121
"Jakub Lacka","Jakub Lauko",0.121
"Alexander Pavlenko","Alexander Perevalov",0.121
"Josh Prokop","Noah Prokop",0.121
"Noah Prokop","Josh Prokop",0.121
"Jan Sir","Jan Shikera",0.121
"Matthew Savoie","Matthew Davis",0.123
"Michael Callow","Michael Karow",0.123
"Samuel Eklund","Samuel Sjolund",0.123
"Patrick Geary","Patrick Leaver",0.123
"Matthew Kieper","Matthew Knies",0.123
"Matthew Kieper","Matthew Rempe",0.123
"Daniil Larkin","Daniil Lazutin",0.123
"Patrick Leaver","Patrick Geary",0.123
"Spencer Penner","Spencer Meier",0.123
"Matthew Knies","Matthew Kieper",0.123
"Matthew Knies","Matthew Kessel",0.123
"Jayden Grubbe","Jayden Struble",0.123
"Maxim Groshev","Maxim Marushev",0.123
"Maxim Groshev","Maxim Marushev",0.123
"Carter Savoie","Charles Savoie",0.123
"Matthew Kessel","Matthew Knies",0.123
"Matthew Rempe","Matthew Kieper",0.123
"Maxim Marushev","Maxim Groshev",0.123
"Jayden Struble","Jayden Grubbe",0.123
"Samuel Sjolund","Samuel Eklund",0.123
"Ivan Prosvetov","Ivan Provorov",0.123
"Nicolas Hague","Nicolas Daigle",0.123
"Daniil Tarasov","Daniil Tesanov",0.123
"Daniil Tarasov","Daniil Tesanov",0.123
"Daniil Tarasov","Daniil Tesanov",0.123
"Mikey Anderson","Joey Anderson",0.123
"Michael Karow","Michael Callow",0.123
"Sebastian Aho","Sebastian Repo",0.123
"Sebastian Aho","Sebastian Repo",0.123
"Sebastian Repo","Sebastian Aho",0.123
"Sebastian Repo","Sebastian Aho",0.123
"Sebastian Repo","Sebastian Aho",0.123
"Josh Anderson","Noah Andersson",0.123
"Joey Anderson","Mikey Anderson",0.123
"Matthew Cairns","Matthew Davis",0.123
"Ivan Provorov","Ivan Prosvetov",0.123
"Ivan Provorov","Ivan Prosvetov",0.123
"Sebastian Aho","Sebastian Repo",0.123
"Sebastian Aho","Sebastian Repo",0.123
"Michael Spacek","Michael Lackey",0.123
"Daniil Lazutin","Daniil Larkin",0.123
"Nicolas Daigle","Nicolas Hague",0.123
"Charles Savoie","Carter Savoie",0.123
"Daniil Tesanov","Daniil Tarasov",0.123
"Simon Stransky","Simon Trnavsky",0.123
"Nikita Shuidin","Nikita Shavin",0.123
"Nikita Shavin","Nikita Shuidin",0.123
"Josef Slavicek","Josef Kolacek",0.123
"Noah Andersson","Josh Anderson",0.123
"Josef Kolacek","Josef Slavicek",0.123
"William Somers","William Bower",0.123
"Michael Lackey","Michael Spacek",0.123
"William Bower","William Somers",0.123
"Sebastian Aho","Sebastian Repo",0.123
"Sebastian Aho","Sebastian Repo",0.123
"Sebastian Repo","Sebastian Aho",0.123
"Sebastian Repo","Sebastian Aho",0.123
"Sebastian Repo","Sebastian Aho",0.123
"Simon Trnavsky","Simon Stransky",0.123
"Matyas Svoboda","Matej Svoboda",0.123
"Maxim Marushev","Maxim Groshev",0.123
"Ivan Prosvetov","Ivan Provorov",0.123
"Matej Svoboda","Matyas Svoboda",0.123
"Daniil Tesanov","Daniil Tarasov",0.123
"Matthew Davis","Matthew Savoie",0.123
"Matthew Davis","Matthew Cairns",0.123
"Spencer Meier","Spencer Penner",0.123
"Daniil Tesanov","Daniil Tarasov",0.123
"Kirill Dolzhenkov","Kirill Volkov",0.124
"Alexander Smolin","Alexander Polunin",0.124
"Kirill Volkov","Kirill Dolzhenkov",0.124
"Sebastian Aho","Sebastian Ohlsson",0.124
"Sebastian Aho","Sebastian Ohlsson",0.124
"Alexander Suvorov","Alexander Sharov",0.124
"Alexander Suvorov","Alexander Sharov",0.124
"Alexander Sharov","Alexander Suvorov",0.124
"Alexander Sharov","Alexander Suvorov",0.124
"Sebastian Aho","Sebastian Ohlsson",0.124
"Alexander Polunin","Alexander Smolin",0.124
"Sebastian Ohlsson","Sebastian Aho",0.124
"Sebastian Ohlsson","Sebastian Aho",0.124
"Sebastian Ohlsson","Sebastian Aho",0.124
"Alexander Smolin","Alexander Gordin",0.125
"Alexander Smolin","Alexander Gordin",0.125
"Oliver Johansson","Albert Johansson",0.125
"Alexander Gordin","Alexander Smolin",0.125
"Alexander Gordin","Alexander Daryin",0.125
"Alexander Pashin","Alexander Daryin",0.125
"Albert Johansson","Oliver Johansson",0.125
"Alexander Daryin","Alexander Gordin",0.125
"Alexander Daryin","Alexander Pashin",0.125
"Alexander Daryin","Alexander Gordin",0.125
"Mikhail Vorobyov","Mikhail Zholobov",0.125
"Fredrik Forsberg","Fredrik Granberg",0.125
"Fredrik Forsberg","Fredrik Granberg",0.125
"Mikhail Zholobov","Mikhail Vorobyov",0.125
"Fredrik Granberg","Fredrik Forsberg",0.125
"Fredrik Granberg","Fredrik Forsberg",0.125
"Alexander Gordin","Alexander Smolin",0.125
"Alexander Gordin","Alexander Daryin",0.125
"Matthew Savoie","Matthew Sop",0.126
"Mathew Hill","Matthew Dillon",0.126
"Mathew Hill","Matthew Miller",0.126
"Matthew Strome","Matthew Sop",0.126
"Cayden Primeau","Caden Price",0.126
"Alexander Dergachyov","Alexander Sharov",0.126
"Matthew Sop","Matthew Savoie",0.126
"Matthew Sop","Matthew Strome",0.126
"Martins Lavins","Martin Lang",0.126
"Cameron Peters","Cameron Lee",0.126
"Caden Price","Cayden Primeau",0.126
"Alexander Sharov","Alexander Dergachyov",0.126
"Matthew Dillon","Mathew Hill",0.126
"Matthew Miller","Mathew Hill",0.126
"Cameron Lee","Cameron Peters",0.126
"Martin Lang","Martins Lavins",0.126
"Nikita Blednov","Nikita Alexandrov",0.128
"Alexander Fesenko","Alexandr Peresunko",0.128
"David Moravec","David Ma",0.128
"David Moravec","David Ma",0.128
"Alexander Ponomaryov","Alexander Romanov",0.128
"Alexander Ponomaryov","Alexander Komarov",0.128
"Liam Steele","Sam Steel",0.128
"Jakub Kos","Jakub Dobes",0.128
"William Wallinder","William Hallen",0.128
"Jakub Dobes","Jakub Kos",0.128
"Nikita Alexandrov","Nikita Blednov",0.128
"Alexander Romanov","Alexander Ponomaryov",0.128
"Alexander Khovanov","Alexander Komarov",0.128
"Josh Norris","Josh Mori",0.128
"Sam Steel","Liam Steele",0.128
"Tyler Soy","Tyler Spott",0.128
"Alexander Komarov","Alexander Ponomaryov",0.128
"Alexander Komarov","Alexander Khovanov",0.128
"David Ma","David Moravec",0.128
"Matthew McGroarty","Matthew Murray",0.128
"Matthew McGroarty","Matthew Murray",0.128
"Josh Mori","Josh Norris",0.128
"Tyler Soy","Tyler Spott",0.128
"David Ma","David Moravec",0.128
"William Hallen","William Wallinder",0.128
"Matthew Murray","Matthew McGroarty",0.128
"Matthew Murray","Matthew McGroarty",0.128
"Alexandr Peresunko","Alexander Fesenko",0.128
