stan_id,player_id,player,last_name,first_name,draft_year,pos_broad,pos_spec,primary_league,primary_region,continent,nation_origin,nation_compete,prop_sr,height_z,age_split
352,2019_403916,Tyler Angle,Angle,Tyler,2019,F,F,OHL,Ontario,North America,CAN,CAN,0,-0.9616216270263517,Late
353,2019_407062,Mitchell Brown,Brown,Mitchell,2019,D,RHD,WHL,Western Canada,North America,CAN,CAN,0,0.7774681072964773,Early
354,2019_407565,Connor Horning,Horning,Connor,2019,D,RHD,WHL,Western Canada,North America,CAN,CAN,0,0.7774681072964773,Early
355,2019_407589,Alex Swetlikoff,Swetlikoff,Alex,2019,F,F,WHL,Western Canada,North America,CAN,CAN,0,1.1910379325348284,Early
356,2019_407590,Ethan Leyh,Leyh,Ethan,2019,F,F,BCHL,Western Canada,North America,CAN,CAN,0,-0.133675642579744,Early
357,2019_407592,Jackson Van De Leest,Van,Jackson,2019,D,LHD,WHL,Western Canada,North America,CAN,CAN,0,2.2574541590277555,Early
358,2019_408386,Reilly Funk,Funk,Reilly,2019,F,C,MJHL,Western Canada,North America,CAN,CAN,0,1.1910379325348284,Late
359,2019_410525,Jakob Pelletier,Pelletier,Jakob,2019,F,F,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-1.4583892176943163,Early
360,2019_410533,Thomas Pelletier,Pelletier,Thomas,2019,D,RHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,0.7774681072964773,Early
361,2019_410602,Jeremy Michel,Michel,Jeremy,2019,F,W,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,0.1975027511988991,Early
362,2019_410615,Mathieu Bizier,Bizier,Mathieu,2019,F,C,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,0.1975027511988991,Early
363,2019_410616,Maxence Guenette,Guenette,Maxence,2019,D,RHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,0.4485823180228599,Early
364,2019_411720,Roddy Ross,Ross,Roddy,2019,G,G,WHL,Western Canada,North America,CAN,CAN,0,0.49430160684180874,Overage
365,2019_412976,Alex Beaucage,Beaucage,Alex,2019,F,W,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,0.1975027511988991,Early
366,2019_413066,Kieran Ruscheinski,Ruscheinski,Kieran,2019,D,LHD,AMHL,Western Canada,North America,CAN,CAN,0,1.928568369754138,Early
367,2019_413300,Jackson Jutting,Jutting,Jackson,2019,F,F,"NAHL",USA,North America,USA,USA,0,-0.9616216270263517,Early
